name	precision	recall	f1-score	support
00_base_all_tag_batch_32_Step_40000	0.9	0.87	0.89	2126.0
00_base_all_tag_batch_8_Step_45000	0.89	0.88	0.89	2126.0
00_base_loc_org_tag_batch_8_Step_48000	0.89	0.89	0.89	2126.0
00_base_loc_tag_batch_32_Step_42000	0.91	0.87	0.89	2126.0
10_finetune_crf_all_mask_token_pad_0_Step_10000	0.9	0.87	0.88	2126.0
11_finetune_crf_label_mask_token_pad_0_Step_13000	0.9	0.85	0.87	2126.0
12_finetune_crf_loss_att_mask_batch_32_Step_41000	0.9	0.87	0.88	2126.0
13_finetune_crf_loss_crf_mask_batch32_Step_21000	0.9	0.86	0.88	2126.0
14_finetune_crf_loss_att_mask_batch256_Step_11000	0.89	0.88	0.88	2126.0
15_finetune_crf_loss_att_mask_batch256_epoch100_Step_18200	0.89	0.89	0.89	2126.0
16_finetune_crf_loss_crf_mask_batch256_epoch100_Step_16100	0.91	0.87	0.89	2126.0
17_finetune_crf_loss_att_mask_tr_loss_Step_18200	0.89	0.89	0.89	2126.0
18_finetune_crf_loss_crf_mask_tr_loss_Step_16100	0.91	0.87	0.89	2126.0
19_small_crf_loss_att_mask_tr_loss_Step_27300	0.86	0.86	0.86	2126.0
20_small_crf_loss_crf_mask_tr_loss_Step_19600	0.86	0.84	0.85	2126.0
21_small_crf_loss_att_mask_tr_loss_batch512_Step_17500	0.86	0.86	0.86	2126.0
22_small_crf_loss_crf_mask_tr_loss_batch512_Step_20300	0.86	0.86	0.86	2126.0
23_finetune_crf_loss_att_mask_LOC_Step_7000	0.9	0.86	0.88	2126.0
24_finetune_crf_loss_crf_mask_LOC_Step_9100	0.91	0.87	0.89	2126.0
25_finetune_crf_loss_att_mask_LOC_ORG_Step_4200	0.91	0.86	0.88	2126.0
26_finetune_crf_loss_crf_mask_LOC_ORG_Step_6300	0.9	0.87	0.89	2126.0
29_finetune_crf_loss_new_mask_batch32_Step_44000	0.9	0.87	0.88	2126.0
30_finetune_crf_loss_new_mask_batc256_Step_10500	0.89	0.88	0.88	2126.0
31_finetune_crf_loss_new_mask_max_seq_64_batch128_Step_11000	0.88	0.88	0.88	2095.0
32_finetune_crf_loss_new_mask_max_seq_64_batch32_Step_35000	0.9	0.87	0.88	2095.0
33_finetune_crf_loss_new_mask_max_seq_128_batch16_decay_0.01_warm_0.1_Step_133500	0.9	0.87	0.89	2126.0
34_finetune_crf_loss_new_mask_max_seq_128_batch64_Step_29500	0.89	0.88	0.89	2126.0
35_finetune_crf_loss_new_mask_max_seq_64_batch64_Step_26500	0.89	0.88	0.88	2095.0
41_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr5e4_Step_61000	0.9	0.89	0.89	2126.0
42_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e4_lr1e4_Step_10000	0.89	0.87	0.88	2126.0
43_finetune_crf_loss_new_mask_max_seq_128_batch32_lr1e5_lr1e3_Step_52500	0.89	0.87	0.88	2126.0
44_finetune_crf_loss_new_mask_max_seq_128_batch32_lr1e5_lr1e4_Step_47000	0.89	0.86	0.87	2126.0
45_finetune_crf_loss_new_mask_LOC_Step_35500	0.91	0.87	0.89	2126.0
46_finetune_crf_loss_new_mask_LOC_max_seq_128_batch_32_lr5e5_lr5e4_Step_62000	0.91	0.87	0.89	2126.0
47_finetune_crf_loss_new_mask_max_seq_128_batch32_lr1e5_lr5e4_Step_47000	0.89	0.86	0.88	2126.0
48_finetune_crf_loss_new_mask_max_seq_128_batch32_lr1e6_lr5e4_Step_57000	0.84	0.82	0.83	2126.0
49_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e6_lr5e4_Step_44500	0.89	0.85	0.87	2126.0
50_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr1e4_Step_10000	0.89	0.87	0.88	2126.0
51_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr5e5_Step_51500	0.9	0.88	0.89	2126.0
52_finetune_crf_loss_new_mask_LOC_max_seq_128_batch_32_lr5e5_lr1e4_Step_53500	0.9	0.87	0.88	2126.0
53_finetune_crf_loss_new_mask_LOC_max_seq_128_batch_32_lr5e5_lr5e5_Step_41500	0.91	0.85	0.88	2126.0
54_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr1e5_Step_53000	0.9	0.88	0.89	2126.0
55_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr5e6_Step_45500	0.89	0.88	0.89	2126.0
57_finetune_crf_loss_new_mask_LOC_max_seq_128_batch_32_lr5e5_lr5e6_Step_53500	0.92	0.84	0.88	2126.0
58_finetune_crf_loss_new_mask_max_seq_128_batch32_lr5e5_lr1e6_Step_40000	0.9	0.87	0.89	2126.0
59_finetune_crf_loss_new_mask_LOC_max_seq_128_batch_32_lr5e5_lr1e6_Step_56000	0.91	0.86	0.89	2126.0
